Start_time( In second ),End_time( In second ),Images
0,1,
,,DJI_0057.JPG
,,DJI_0580.JPG
,,DJI_0379.JPG
,,DJI_0160.JPG
,,DJI_0323.JPG
,,DJI_0158.JPG
,,DJI_0265.JPG
,,DJI_0107.JPG
,,DJI_0212.JPG
,,DJI_0371.JPG
,,DJI_0568.JPG
,,DJI_0495.JPG
,,DJI_0507.JPG
,,DJI_0430.JPG
,,DJI_0096.JPG
,,DJI_0312.JPG
,,DJI_0211.JPG
,,DJI_0444.JPG
,,DJI_0011.JPG
,,DJI_0311.JPG
,,DJI_0147.JPG
,,DJI_0445.JPG
,,DJI_0254.JPG
,,DJI_0494.JPG
,,DJI_0255.JPG
,,DJI_0257.JPG
,,DJI_0048.JPG
,,DJI_0203.JPG
,,DJI_0263.JPG
,,DJI_0202.JPG
,,DJI_0106.JPG
,,DJI_0369.JPG
,,DJI_0372.JPG
,,DJI_0434.JPG
,,DJI_0382.JPG
,,DJI_0443.JPG
,,DJI_0149.JPG
,,DJI_0381.JPG
,,DJI_0370.JPG
,,DJI_0159.JPG
,,DJI_0313.JPG
,,DJI_0010.JPG
,,DJI_0213.JPG
,,DJI_0055.JPG
,,DJI_0264.JPG
,,DJI_0432.JPG
,,DJI_0569.JPG
,,DJI_0201.JPG
,,DJI_0049.JPG
,,DJI_0431.JPG
,,DJI_0105.JPG
,,DJI_0266.JPG
,,DJI_0380.JPG
,,DJI_0056.JPG
,,DJI_0373.JPG
,,DJI_0200.JPG
,,DJI_0509.JPG
,,DJI_0148.JPG
,,DJI_0508.JPG
,,DJI_0567.JPG
,,DJI_0442.JPG
,,DJI_0383.JPG
,,DJI_0046.JPG
,,DJI_0013.JPG
,,DJI_0510.JPG
,,DJI_0210.JPG
,,DJI_0496.JPG
,,DJI_0097.JPG
,,DJI_0497.JPG
,,DJI_0104.JPG
,,DJI_0047.JPG
,,DJI_0583.JPG
,,DJI_0506.JPG
,,DJI_0321.JPG
,,DJI_0566.JPG
,,DJI_0108.JPG
,,DJI_0094.JPG
,,DJI_0324.JPG
,,DJI_0012.JPG
,,DJI_0150.JPG
,,DJI_0433.JPG
,,DJI_0256.JPG
,,DJI_0095.JPG
,,DJI_0157.JPG
,,DJI_0582.JPG
,,DJI_0581.JPG
,,DJI_0322.JPG
,,DJI_0310.JPG
1,2,
,,DJI_0057.JPG
,,DJI_0580.JPG
,,DJI_0379.JPG
,,DJI_0160.JPG
,,DJI_0323.JPG
,,DJI_0158.JPG
,,DJI_0265.JPG
,,DJI_0107.JPG
,,DJI_0212.JPG
,,DJI_0371.JPG
,,DJI_0568.JPG
,,DJI_0495.JPG
,,DJI_0507.JPG
,,DJI_0430.JPG
,,DJI_0253.JPG
,,DJI_0096.JPG
,,DJI_0312.JPG
,,DJI_0211.JPG
,,DJI_0444.JPG
,,DJI_0011.JPG
,,DJI_0311.JPG
,,DJI_0147.JPG
,,DJI_0445.JPG
,,DJI_0254.JPG
,,DJI_0494.JPG
,,DJI_0255.JPG
,,DJI_0257.JPG
,,DJI_0048.JPG
,,DJI_0203.JPG
,,DJI_0263.JPG
,,DJI_0309.JPG
,,DJI_0202.JPG
,,DJI_0106.JPG
,,DJI_0369.JPG
,,DJI_0372.JPG
,,DJI_0434.JPG
,,DJI_0382.JPG
,,DJI_0443.JPG
,,DJI_0149.JPG
,,DJI_0381.JPG
,,DJI_0370.JPG
,,DJI_0159.JPG
,,DJI_0313.JPG
,,DJI_0010.JPG
,,DJI_0213.JPG
,,DJI_0055.JPG
,,DJI_0497.JPG
,,DJI_0432.JPG
,,DJI_0569.JPG
,,DJI_0201.JPG
,,DJI_0267.JPG
,,DJI_0049.JPG
,,DJI_0431.JPG
,,DJI_0105.JPG
,,DJI_0266.JPG
,,DJI_0380.JPG
,,DJI_0056.JPG
,,DJI_0373.JPG
,,DJI_0200.JPG
,,DJI_0509.JPG
,,DJI_0148.JPG
,,DJI_0045.JPG
,,DJI_0508.JPG
,,DJI_0567.JPG
,,DJI_0442.JPG
,,DJI_0383.JPG
,,DJI_0046.JPG
,,DJI_0013.JPG
,,DJI_0510.JPG
,,DJI_0210.JPG
,,DJI_0496.JPG
,,DJI_0097.JPG
,,DJI_0093.JPG
,,DJI_0264.JPG
,,DJI_0104.JPG
,,DJI_0047.JPG
,,DJI_0583.JPG
,,DJI_0506.JPG
,,DJI_0321.JPG
,,DJI_0161.JPG
,,DJI_0566.JPG
,,DJI_0108.JPG
,,DJI_0094.JPG
,,DJI_0324.JPG
,,DJI_0012.JPG
,,DJI_0146.JPG
,,DJI_0446.JPG
,,DJI_0150.JPG
,,DJI_0433.JPG
,,DJI_0256.JPG
,,DJI_0095.JPG
,,DJI_0157.JPG
,,DJI_0582.JPG
,,DJI_0581.JPG
,,DJI_0322.JPG
,,DJI_0310.JPG
2,3,
,,DJI_0057.JPG
,,DJI_0269.JPG
,,DJI_0268.JPG
,,DJI_0160.JPG
,,DJI_0323.JPG
,,DJI_0214.JPG
,,DJI_0158.JPG
,,DJI_0015.JPG
,,DJI_0265.JPG
,,DJI_0107.JPG
,,DJI_0212.JPG
,,DJI_0428.JPG
,,DJI_0492.JPG
,,DJI_0109.JPG
,,DJI_0371.JPG
,,DJI_0568.JPG
,,DJI_0495.JPG
,,DJI_0493.JPG
,,DJI_0507.JPG
,,DJI_0430.JPG
,,DJI_0253.JPG
,,DJI_0096.JPG
,,DJI_0307.JPG
,,DJI_0312.JPG
,,DJI_0211.JPG
,,DJI_0444.JPG
,,DJI_0011.JPG
,,DJI_0311.JPG
,,DJI_0145.JPG
,,DJI_0309.JPG
,,DJI_0445.JPG
,,DJI_0384.JPG
,,DJI_0254.JPG
,,DJI_0014.JPG
,,DJI_0494.JPG
,,DJI_0429.JPG
,,DJI_0255.JPG
,,DJI_0048.JPG
,,DJI_0308.JPG
,,DJI_0447.JPG
,,DJI_0147.JPG
,,DJI_0202.JPG
,,DJI_0106.JPG
,,DJI_0144.JPG
,,DJI_0369.JPG
,,DJI_0385.JPG
,,DJI_0372.JPG
,,DJI_0382.JPG
,,DJI_0443.JPG
,,DJI_0368.JPG
,,DJI_0149.JPG
,,DJI_0511.JPG
,,DJI_0381.JPG
,,DJI_0091.JPG
,,DJI_0370.JPG
